run,setting,backbone,best_epoch,best_val_rmse_norm,val_nrmse_norm,val_r2_norm,test_rmse_norm,test_mae_norm,test_nrmse_norm,test_r2_norm,test_rmse_power,test_mae_power,test_nrmse_power,test_r2_power,station7_rmse_norm,station7_mae_norm,station7_nrmse_norm,station7_r2_norm,station7_n,station8_rmse_norm,station8_mae_norm,station8_nrmse_norm,station8_r2_norm,station8_n,station9_rmse_norm,station9_mae_norm,station9_nrmse_norm,station9_r2_norm,station9_n,station7_rmse_power,station7_mae_power,station7_nrmse_power,station7_r2_power,station8_rmse_power,station8_mae_power,station8_nrmse_power,station8_r2_power,station9_rmse_power,station9_mae_power,station9_nrmse_power,station9_r2_power,all_rmse_norm,all_mae_norm,all_nrmse_norm,all_r2_norm,all_n,daytime_rmse_norm,daytime_mae_norm,daytime_nrmse_norm,daytime_r2_norm,daytime_n,clear_like_rmse_norm,clear_like_mae_norm,clear_like_nrmse_norm,clear_like_r2_norm,clear_like_n,cloudy_rmse_norm,cloudy_mae_norm,cloudy_nrmse_norm,cloudy_r2_norm,cloudy_n,peak_rmse_norm,peak_mae_norm,peak_nrmse_norm,peak_r2_norm,peak_n,ramp_rmse_norm,ramp_mae_norm,ramp_nrmse_norm,ramp_r2_norm,ramp_n
decomposition_mlp,decomposition,mlp,18,7.764419742398766e-05,0.11949182637156851,0.8076906831347989,9.218743294260065e-05,5.450963923460761e-05,0.12721957603755293,0.7747392875610595,1.8437486588520127,1.0901927846921524,0.1272195760375529,0.7747392875610595,8.200344985104597e-05,5.147667954783408e-05,0.11292409932817254,0.8405235988926619,32905,7.84485930326404e-05,4.424125698830185e-05,0.10419436217937653,0.8755928416800409,33097,0.00011875085932868697,7.262841878124949e-05,0.28703971180165494,-0.17463370554262703,24265,1.6400689970209195,1.0295335909566816,0.11292409932817254,0.8405235988926618,1.568971860652808,0.884825139766037,0.10419436217937653,0.8755928416800409,2.3750171865737393,1.4525683756249899,0.287039711801655,-0.17463370554262703,9.218743294260065e-05,5.450963923460761e-05,0.12721957603755293,0.7747392875610595,90267,0.0001266328980261872,9.174114146871508e-05,0.16620204973623026,0.6625578364088354,47195,1.7381563367817435e-05,1.7374165281580645e-05,1.5552147054156205,-36.014542952143614,2,0.0001266460465731559,9.175736236206532e-05,0.16621899063599288,0.6624862320880658,47185,0.00018115361267239842,0.0001485479773377705,0.22150170922970067,-0.08352082595738963,9445,0.00013418644820261015,0.00010060493859168801,0.18068232659210487,0.3923351563512648,9439
direct_mlp,direct,mlp,27,8.560342575893138e-05,0.13174081292567433,0.7662430108395244,9.885650931726806e-05,5.802581806198075e-05,0.13642296788680333,0.740968516845063,1.9771301863453612,1.160516361239615,0.13642296788680333,0.740968516845063,9.39920351198642e-05,5.307106669496094e-05,0.12943316322925705,0.7904854030326731,32905,0.00010489704598151164,6.0396584888671406e-05,0.13932284032164582,0.77756579680843,33097,9.677801755367912e-05,6.151111886844298e-05,0.2339278589172523,0.21984233525655072,24265,1.8798407023972838,1.0614213338992189,0.12943316322925702,0.7904854030326731,2.097940919630233,1.2079316977734282,0.13932284032164588,0.77756579680843,1.9355603510735826,1.2302223773688594,0.23392785891725235,0.21984233525655072,9.885650931726806e-05,5.802581806198075e-05,0.13642296788680333,0.740968516845063,90267,0.0001355319236660733,9.405390233207335e-05,0.17788176586890916,0.6134644343079712,47195,1.9571237154032953e-05,1.9546026351235923e-05,1.751135682161056,-45.9279170629348,2,0.00013554595534756252,9.406950444753711e-05,0.17789984363743075,0.6133826456408303,47185,0.00020450214642336227,0.00016516149920348732,0.2500506299912122,-0.38082615808898246,9445,0.00016795709696307073,0.00012524054949081723,0.22615457412750176,0.04798560599299795,9439
direct_transformer,direct,transformer,32,9.424065101107611e-05,0.14503321408896527,0.7166919793716253,0.0001027948446840483,5.873463874981875e-05,0.14185790993543856,0.7199183352003822,2.055896893680966,1.1746927749963751,0.14185790993543856,0.7199183352003822,9.303998871868178e-05,5.182532216834693e-05,0.1281221332351844,0.7947082589989264,32905,9.381704908342714e-05,5.2835312774430675e-05,0.12460653802588588,0.8220743384316899,33097,0.00012475957689341938,7.615071350443444e-05,0.30156373771463363,-0.2965125438188261,24265,1.8607997743736355,1.0365064433669386,0.1281221332351844,0.7947082589989264,1.8763409816685428,1.0567062554886135,0.12460653802588588,0.82207433843169,2.4951915378683878,1.5230142700886888,0.3015637377146337,-0.2965125438188261,0.0001027948446840483,5.873463874981875e-05,0.14185790993543856,0.7199183352003822,90267,0.00014102882670141007,9.846545430831051e-05,0.18509629357785687,0.5814743874566737,47195,5.852724578638319e-06,5.0194810228276765e-06,0.5236723037410359,-3.196728687516611,2,0.00014104374086816316,9.848527032237193e-05,0.18511551585693067,0.5813839696190234,47185,0.0002023438892453789,0.00015753834137851802,0.2474116671417927,-0.3518342668444885,9445,0.00016752527998269246,0.00012306968588878388,0.2255731316813993,0.05287456305778615,9439
decomposition_tcn,decomposition,tcn,78,7.974918016862119e-05,0.12273132450513012,0.7971220868080717,0.00010332664209536408,7.215385031481697e-05,0.14259179566200594,0.7170128979840604,2.0665328419072817,1.4430770062963392,0.14259179566200597,0.7170128979840604,0.00010909084302546374,7.578381398414558e-05,0.15022520657335997,0.7177663609664106,32905,8.167863925533572e-05,6.273446276124537e-05,0.10848446596547773,0.8651372410414535,33097,0.00012032763074974478,8.007923730518588e-05,0.2908510190783863,-0.20603432245979314,24265,2.181816860509275,1.5156762796829115,0.15022520657335997,0.7177663609664104,1.6335727851067143,1.254689255224907,0.10848446596547773,0.8651372410414535,2.4065526149948955,1.6015847461037176,0.2908510190783863,-0.20603432245979314,0.00010332664209536408,7.215385031481697e-05,0.14259179566200594,0.7170128979840604,90267,0.00013174474533150747,9.350241862400838e-05,0.17291120283408612,0.6347646039046336,47195,6.753564969799061e-05,6.711327591801819e-05,6.042749626571807,-557.8057720113424,2,0.00013175532676854105,9.35085834930837e-05,0.17292476171952073,0.6347042800908982,47185,0.00021141050272440175,0.00017009277034977618,0.2584976750491282,-0.4756942403413733,9445,0.00014751310415209363,0.000107082770857301,0.19862669604891828,0.26564171341657683,9439
direct_tcn,direct,tcn,124,0.00012764526273898743,0.19644179576062112,0.4802533270718212,0.00012147757890555311,7.212632729424757e-05,0.1676402693201718,0.6088581683193587,2.429551578111062,1.4425265458849514,0.1676402693201718,0.6088581683193586,0.00011885719120802075,6.6568313024456e-05,0.16367410505560495,0.6649704564963737,32905,0.00012060463872742296,6.621994726846683e-05,0.1601854529481421,0.705962259802226,33097,0.00012609145379464403,8.771956526089735e-05,0.3047830959916516,-0.32434226871640925,24265,2.377143824160415,1.3313662604891199,0.16367410505560495,0.6649704564963735,2.4120927745484595,1.3243989453693368,0.16018545294814215,0.7059622598022262,2.5218290758928807,1.754391305217947,0.30478309599165165,-0.3243422687164095,0.00012147757890555311,7.212632729424757e-05,0.1676402693201718,0.6088581683193587,90267,0.00014426432190029276,0.00010231144244983701,0.18934278830669765,0.5620504014323041,47195,6.028779397914313e-05,5.742180951529008e-05,5.394248018393526,-444.30082976029945,2,0.00014427766518579192,0.00010232284373272561,0.18935994077515295,0.5619674034816318,47185,0.00020678330665783502,0.00016440104814519925,0.25283986992691415,-0.41180337563095915,9445,0.00016855756749829473,0.0001227711362348432,0.22696310892969326,0.04116626367379006,9439
decomposition_transformer,decomposition,transformer,53,8.695536278894885e-05,0.13382139885760172,0.7588012473808412,0.0001231579970202945,7.097897847495393e-05,0.1699592630625871,0.5979618701576086,2.4631599404058897,1.4195795694990787,0.1699592630625871,0.5979618701576086,0.00013106937469623128,6.963555880135392e-05,0.18049107828955438,0.5925872325785329,32905,9.19679792695135e-05,5.512186529162244e-05,0.12215062846220882,0.8290188079194813,33097,0.00014694374408002288,9.442954923071452e-05,0.3551863977256852,-0.7985857124304032,24265,2.621387493924626,1.3927111760270787,0.1804910782895544,0.5925872325785326,1.83935958539027,1.1024373058324488,0.12215062846220884,0.8290188079194813,2.9388748816004573,1.8885909846142905,0.3551863977256852,-0.798585712430403,0.0001231579970202945,7.097897847495393e-05,0.1699592630625871,0.5979618701576086,90267,0.00016734174141132767,0.00010654141514462053,0.21963124008455798,0.4107293327583067,47195,5.647131272228269e-05,5.6267753507199814e-05,5.052768506567672,-389.7063644999061,2,0.00016735735160632013,0.00010655176898678877,0.21965131018477316,0.41061672442889885,47185,0.0003147118499187101,0.0002788445379311646,0.38480719011604125,-2.2701634179754038,9445,0.00019215150005487617,0.00012916603390035475,0.2587323873097541,-0.24604679974186094,9439
physics_feature_mlp,physics_feature,mlp,4,9.378815125692841e-05,0.14433683208168485,0.7194060743528573,0.00013397999332292017,0.00010765997650527685,0.1848937257930683,0.5242027654792767,2.6795998664584033,2.1531995301055367,0.18489372579306831,0.5242027654792767,0.00013249682752215026,0.0001179731027769823,0.18245677394008072,0.5836647920236826,32905,0.00011641869796362142,0.00010384582723481887,0.15462574293749243,0.7260189486956603,33097,0.00015647512594658904,9.887709904530894e-05,0.37822526346120044,-1.0394804943024214,24265,2.6499365504430052,2.359462055539646,0.18245677394008072,0.5836647920236826,2.3283739592724286,2.0769165446963775,0.15462574293749246,0.7260189486956604,3.1295025189317807,1.9775419809061787,0.37822526346120044,-1.0394804943024218,0.00013397999332292017,0.00010765997650527685,0.1848937257930683,0.5242027654792767,90267,0.00016467629755625385,0.00013349022794675508,0.21613292140848617,0.42935181094465236,47195,5.541431652150638e-05,5.541341738535266e-05,4.958193812667616,-375.2172296626337,2,0.0001646918492018355,0.0001335070359766775,0.21615292131911426,0.4292414437587715,47185,0.00024876773925900893,0.00021487687981139365,0.30417543781877177,-1.0432964626793386,9445,0.00013995841038609935,0.0001090730115587392,0.1884542854618992,0.33893403482381157,9439
physics_feature_transformer,physics_feature,transformer,37,7.467191491116804e-05,0.1149175828642312,0.8221323807549629,0.00013448797480032203,7.460899564856411e-05,0.185594745293527,0.5205879813856344,2.6897594960064404,1.4921799129712823,0.185594745293527,0.5205879813856344,8.634672150978103e-05,5.380175115561126e-05,0.11890506770317534,0.8231830541471887,32905,0.00010885154353356839,6.409405484754422e-05,0.14457515058302964,0.7604786472444816,33097,0.00020251600035149306,0.00011716722254870705,0.4895133787219152,-2.4162340704156233,24265,1.7269344301956204,1.076035023112225,0.11890506770317533,0.8231830541471887,2.1770308706713677,1.2818810969508847,0.14457515058302964,0.7604786472444816,4.05032000702986,2.343344450974141,0.4895133787219152,-2.4162340704156233,0.00013448797480032203,7.460899564856411e-05,0.185594745293527,0.5205879813856344,90267,0.00018525346078806672,0.00013017913345916965,0.24313985846979433,0.277830878354948,47195,4.60086975042386e-06,4.466039399630972e-06,0.41166264173966327,-1.59343039438488,2,0.00018527307557498286,0.00013020582694123718,0.243165139752789,0.27767467650421707,47185,0.00032070301528179377,0.00028879439296847226,0.392132759551969,-2.3958566639394103,9445,0.00016707488608859588,0.00013090495658957515,0.22496667538303025,0.05796043524974315,9439
clear_sky_film_transformer,clear_sky_film,transformer,32,8.092038259860833e-05,0.1245337659244904,0.7911193694973171,0.0001443603968783968,8.446354698669939e-05,0.1992187861323522,0.447619747089562,2.887207937567936,1.6892709397339876,0.19921878613235222,0.447619747089562,9.364264975642032e-05,5.992312797118281e-05,0.12895203679424713,0.7920401152426773,32905,0.00010159409161342548,6.440710166776055e-05,0.1349359009211249,0.7913530910071441,33097,0.00022705972671156099,0.00014509864521157026,0.5488394684930458,-3.2944658949593473,24265,1.8728529951284065,1.1984625594236562,0.12895203679424716,0.7920401152426773,2.0318818322685095,1.2881420333552107,0.1349359009211249,0.7913530910071441,4.541194534231219,2.901972904231405,0.5488394684930458,-3.2944658949593473,0.0001443603968783968,8.446354698669939e-05,0.1992187861323522,0.447619747089562,90267,0.00019785363873573683,0.00014088995254769962,0.2596772309423958,0.17625206529419712,47195,5.052656082131692e-05,5.0442341262169066e-05,4.5208620617453645,-311.77655759226906,2,0.00019787331031430536,0.00014090944277363033,0.25970255530438263,0.17608452964077248,47185,0.0003367291965989804,0.000300523624911361,0.41172843033001477,-2.7437325259239316,9445,0.00017021932327063782,0.0001360571885150038,0.22920066647143142,0.02216739373927712,9439
clear_sky_film_mlp,clear_sky_film,mlp,4,0.00011466423748680543,0.17646443148845894,0.5805904748309051,0.00021493204977929823,0.0001759824499124849,0.29660837032776116,-0.22445934724015726,4.298640995585965,3.519648998249698,0.29660837032776116,-0.22445934724015704,0.00026307168004827976,0.0002185767931581596,0.3622668629449405,-0.6412713039989748,32905,0.0002129532919409106,0.00018470695607858658,0.2828416874034908,0.08326509363665058,33097,0.000127067926517588,0.00010632154552021654,0.30714338585027245,-0.34493353602537624,24265,5.261433600965595,4.371535863163192,0.3622668629449404,-0.641271303998975,4.259065838818211,3.6941391215717316,0.28284168740349075,0.0832650936366508,2.5413585303517596,2.1264309104043306,0.30714338585027245,-0.34493353602537646,0.00021493204977929823,0.0001759824499124849,0.29660837032776116,-0.22445934724015726,90267,0.00018717328986274135,0.00014996761686694517,0.24565957911369957,0.26278527225711534,47195,0.00014946378013605815,0.00014839526124887925,13.373265906851092,-2735.9486094747153,2,0.0001871806169077317,0.00014996804889846072,0.24566872832507652,0.26272421978408167,47185,0.00023941345374822007,0.00021534750617134877,0.2927376850812132,-0.8925195209901515,9445,0.00017553087731441442,0.00014516442539482707,0.23635268484067978,-0.039809647757593325,9439
clear_sky_film_tcn,clear_sky_film,tcn,4,0.00014564243933593596,0.2241388494033785,0.3233591658025292,0.00021978304814789347,0.0001903879457521672,0.30330279641288493,-0.28035497810560406,4.395660962957869,3.807758915043345,0.303302796412885,-0.2803549781056043,0.0002455292371038115,0.00022459560330663562,0.33810977476001375,-0.42967923199819635,32905,0.0002419710167543992,0.00021667807763877775,0.3213826377501735,-0.1835912638970254,33097,0.00013447807906896193,0.00010814078041604806,0.3250549029944591,-0.5063709443964852,24265,4.910584742076231,4.491912066132713,0.3381097747600138,-0.4296792319981968,4.839420335087984,4.333561552775555,0.3213826377501735,-0.18359126389702496,2.689561581379239,2.1628156083209613,0.32505490299445916,-0.5063709443964854,0.00021978304814789347,0.0001903879457521672,0.30330279641288493,-0.28035497810560406,90267,0.0002500814486455119,0.00021999814242668617,0.3282247347549023,-0.31604035893747495,47195,0.0001066007170636872,7.940794034766441e-05,9.538095007740015,-1391.2427695917886,2,0.0002501004379345697,0.00022002183247768364,0.3282490332384012,-0.3162461782842565,47185,0.00031441678837306006,0.0002843722057753243,0.38444640991560647,-2.264034337377741,9445,0.00028181143873682685,0.0002530932538862,0.3794596778830894,-1.680180419490879,9439
physics_feature_tcn,physics_feature,tcn,70,0.0024025229425853195,3.6974025598005964,-183.1269680936253,0.003811022450347762,0.0029097724139773708,5.259248955383277,-383.9683486809508,76.22044900695523,58.195448279547406,5.259248955383277,-383.9683486809508,0.0045894048821891595,0.0039407305025906504,6.319909878363711,-498.51085025937164,32905,0.004286135010371462,0.003607045715211489,5.692786656282478,-370.3699387416401,33097,0.0006399905758518519,0.0005606551522108102,1.546958998754068,-33.11741311128449,24265,91.78809764378319,78.81461005181299,6.3199098783637115,-498.5108502593718,85.72270020742924,72.14091430422978,5.692786656282479,-370.36993874164006,12.799811517037037,11.213103044216206,1.546958998754068,-33.11741311128449,0.003811022450347762,0.0029097724139773708,5.259248955383277,-383.9683486809508,90267,0.0032740542866739474,0.0025502317654157868,4.297102426577747,-224.56826929179257,47195,0.00023286724226219847,0.0002292560427576973,20.835787432464333,-6642.723034638063,2,0.0032743990308329476,0.0025507175994329964,4.297546718366254,-224.6167947178564,47185,0.0024800933539356786,0.0019144786932296625,3.0324811569693586,-202.0856893263453,9445,0.0036362142271333955,0.0030823390359474277,4.896169884113489,-445.216596335254,9439
